"X" "Y"
"444" 457609.803174301 4999302.51487383
"445" 473178.106202472 4988820.59640302
"446" 477028.020374954 4952860.48115139
"447" 469904.957417021 4950482.15723194
"448" 511733.978239304 4946042.33131292
"449" 466051.819133949 4938139.11006621
"450" 510515.268911086 4941718.22929633
"451" 478323.181606911 4947916.52532055
"452" 465819.531681656 4949273.06481536
"453" 464321.684208082 4942031.72105911
"454" 492384.874526693 4960796.95985471
"455" 496783.345797896 4954055.64302293
"456" 482323.640226088 4937450.41266907
"457" 497836.585088982 4963442.98815561
"458" 486766.588751299 4943724.15359484
"459" 486184.613654214 4948666.26096392
"460" 492354.831120751 4964844.99093432
"461" 477187.833630604 4940881.42772386
"462" 492554.985939919 4956841.72084103
"463" 460341.20180111 4931651.02288938
"464" 504036.702382792 4947029.44001526
"465" 497719.234073444 4948421.7003702
"466" 472920.145503655 4940540.72385767
"467" 480025.531834813 4954466.62168883
"468" 427861.192162316 4933374.5068878
"469" 424552.125075533 4918119.69207806
"470" 426214.256879696 4914379.42997482
"471" 424755.472189837 4946588.40089867
"472" 417407.526554666 4931677.48734767
"473" 421170.934496499 4934341.87122788
"474" 455266.824798765 4941754.14109718
"475" 426815.536090083 4911400.05450084
"476" 419059.65913068 4943119.55782952
"477" 420527.80218713 4943634.98821215
"478" 442612.533244136 4941470.04809894
"479" 434203.001598092 4953589.7274163
"480" 436875.808639312 4930705.30105464
"481" 448431.763003085 4929668.2898091
"482" 435906.276197073 4946024.95536626
"483" 432136.604489135 4927197.65378583
"484" 445611.113937913 4930215.23509036
"485" 447635.000851835 4935567.09908492
"486" 448711.507826091 4941636.84352316
"487" 441591.183002629 4942950.63759684
"488" 457467.940003804 4946811.05830269
"489" 414880.533379148 4892385.31861704
"490" 422664.717090784 4913200.19778549
"491" 505105.240736491 4953544.37584731
"492" 475353.500718883 4947179.72097123
"493" 502612.82425439 4957311.03461011
"494" 489370.357994902 4937198.6898199
"495" 466462.054373811 4934592.65703055
"496" 470433.126858743 4938600.35796608
"497" 471863.92077639 4950913.06049886
"498" 465742.18748904 4928924.02896186
"499" 471630.536893261 4948407.67878152
"500" 460287.969923596 4940220.45750111
"501" 496262.349131959 4951928.59080374
"502" 456168.132393868 4932093.92153109
"503" 468924.873237916 4937512.22306987
"504" 490395.867424733 4950431.53522554
"505" 475260.122111784 5051916.98969115
"506" 487964.489959633 4959317.21151798
"507" 472194.935242969 5061830.96307432
"508" 480409.31066221 5038660.98953728
"509" 485555.869123607 5030683.76334093
