"from" "to" "factor" "value" "x.to" "y.to" "x.end" "y.end" "x.from" "y.from"
"186" "04SS1N127PI" "04SS3N171PI" 1 3 351286.50158751 4999510.9484607 0 0 340472.015398485 5000774.91823078
"187" "04SS1N129PI" "04SS2N130PI" 1 1 388441.99812049 4911333.41736189 0 0 386155.876795875 4901848.25449927
"188" "04SS1N133PI" "04SS3N120PI" 1 1 358040.691832161 4978598.72997522 0 0 358649.245195002 4982024.71695402
"189" "04SS1N146PI" "04SS2N147PI" 1 1 408463.9998555 4905003.32165656 0 0 406586.676242221 4894524.79771887
"190" "04SS1N153PI" "04SS2N921PI" 1 1 362730.547897201 4936519.0908179 0 0 356863.695178839 4939996.06454544
"191" "04SS1N177PI" "04SS2N178PI" 1 1 399248.089746785 4903305.05043357 0 0 399053.672678512 4893955.32466496
"192" "04SS1N184PI" "04SS3N179PI" 1 2 404666.81093427 4912893.44563335 0 0 407708.606707267 4913149.01146455
"193" "04SS1N184PI" "06SS3F180PI" 1 2 408593.240844825 4918308.27740256 0 0 407708.606707267 4913149.01146455
"194" "04SS1N199PI" "04SS2N369PI" 1 1 395367.258844927 4909742.97911444 0 0 396186.094536127 4910004.2102202
"195" "04SS1N217PI" "04SS3N170PI" 1 1 335990.013166899 4994607.2137027 0 0 344369.526694355 4996962.07051732
"196" "04SS1N230PI" "04SS3N288PI" 1 1 357345.084137265 4927983.44542855 0 0 361935.23951151 4924373.12718108
"197" "04SS1N245PI" "04SS2N246PI" 1 1 367738.966190958 4918766.02685905 0 0 356145.016858584 4917744.43197014
"198" "04SS1N272PI" "04SS2N119PI" 1 1 343133.773054182 4987862.49455833 0 0 344312.286382889 4987239.10140123
"199" "04SS1N310PI" "04SS2N921PI" 1 1 362730.547897201 4936519.0908179 0 0 365459.899568787 4933951.63197344
"200" "04SS1N314PI" "04SS3N171PI" 1 1 351286.50158751 4999510.9484607 0 0 353655.287638639 5002460.25721267
"201" "04SS1N320PI" "04SS2N321PI" 1 1 417536.455955885 4911638.48438135 0 0 418046.676438873 4902029.81454208
"202" "04SS1N330PI" "04SS3N755PI" 1 1 364815.326264951 4908050.55043199 0 0 353301.37418924 4909000.62971935
"203" "04SS1N332PI" "04SS3N179PI" 1 1 404666.81093427 4912893.44563335 0 0 405601.819895279 4910202.80273928
"204" "04SS1N361PI" "04SS2N362PI" 1 1 350806.860141712 4962872.37948864 0 0 344836.72904054 4956446.23862384
"205" "04SS1N368PI" "04SS2N369PI" 1 1 395367.258844927 4909742.97911444 0 0 392726.183439374 4897213.93058471
"206" "04SS1N375PI" "04SS3N288PI" 1 2 357345.084137265 4927983.44542855 0 0 365043.067693078 4923162.20896703
"207" "04SS1N375PI" "04SS3N289PI" 1 2 373248.88714965 4926101.93882836 0 0 365043.067693078 4923162.20896703
"208" "04SS1N377PI" "04SS3N171PI" 1 1 351286.50158751 4999510.9484607 0 0 357812.780988344 5002358.02561032
"209" "04SS1N379PI" "04SS2N380PI" 1 1 366877.610014152 4945736.12466299 0 0 354786.897524046 4948291.62488578
"210" "04SS1N408PI" "04SS3N172PI" 1 1 368384.09495004 4996163.65545596 0 0 361442.900064796 4995775.65744789
"211" "04SS1N413PI" "04SS3N171PI" 1 1 351286.50158751 4999510.9484607 0 0 351478.792981199 4997248.19489935
"212" "04SS1N442PI" "04SS3N755PI" 1 1 364815.326264951 4908050.55043199 0 0 369246.183213151 4910736.09826624
